,encoding,probabilities
10,"[[-2.18666897e+01  2.70264702e+01 -1.41189756e+01 -7.69655685e+01
  -4.32828255e+01 -7.33058624e+01 -4.95094299e+01 -6.63977127e+01
   1.73229752e+01 -7.06329880e+01  2.63548603e+01 -1.37879925e+01
   3.27409706e+01 -1.93297935e+00 -7.13258362e+01  2.20746403e+01
   4.03397331e+01 -7.81774902e+01 -9.75067711e+00 -2.99765434e+01
   2.33793616e+00 -7.76459265e+00 -5.36277618e+01 -6.07411118e+01
  -3.85091209e+01  3.59579697e+01 -1.76022892e+01  2.78863335e+01
   9.06652391e-01  5.27117310e+01  4.25264202e-02 -6.89791107e+01
   2.50642319e+01 -6.82877121e+01  2.56273670e+01 -4.82851715e+01
  -7.66932144e+01  1.86933022e+01 -4.72298775e+01 -1.17692728e+01
  -7.30672989e+01 -1.51924839e+01 -7.48774719e+01 -7.26849136e+01
  -7.51079712e+01 -2.90640602e+01 -5.77849655e+01 -6.60921021e+01
  -7.04588852e+01 -3.03851771e+00 -3.71813507e+01 -6.98328934e+01
   7.64057636e+00 -9.93543434e+00 -4.19287109e+01 -1.28209867e+01
  -6.40039825e+00 -1.09418643e+00 -6.11673050e+01 -8.12817459e+01
  -1.18030348e+01 -7.63990097e+01 -3.10327168e+01 -7.23749619e+01]]",[[0.00436821]]
11,"[[-19.703943    25.235296   -12.706484   -69.09564    -38.818485
  -65.85296    -44.288082   -59.706135    16.12823    -63.44509
   24.347082   -12.35328     30.055553    -1.7345805  -64.13903
   20.525393    35.180534   -70.19684     -8.799024   -26.869492
    2.1745906   -7.0912957  -48.34963    -54.557194   -34.637737
   32.531185   -15.879647    25.816628     0.8224177   46.13346
    0.65921694 -61.956913    22.306942   -61.31011     23.601278
  -43.20564    -68.8549      17.977207   -42.544132   -10.526672
  -65.612724   -14.541256   -67.17855    -65.492485   -67.419914
  -26.10476    -52.120766   -59.426594   -63.341152    -2.6801174
  -33.37888    -62.73139      6.5233436   -8.76332    -37.703144
  -11.513114    -5.94679     -1.0321168  -54.950817   -72.87444
  -10.799269   -68.53105    -27.876087   -65.0778    ]]",[[0.00159716]]
12,"[[-4.1367836  -1.769652   -1.2315112  -7.575889   -5.225036   -7.744917
  -5.079156   -9.241662   -1.1456225  -7.5612965  -1.2841668  -4.622304
  -1.6146969  -2.798209   -7.046944   -1.4218986   9.416453   -7.1522875
  -4.3779464  -5.35884    -3.0555928  -2.5070353  -3.446772   -6.6856003
  -4.719079   -2.4235868  -1.4445455  -1.4183766  -2.8237138  11.328259
  -1.7023859  -7.5629897  -4.1964693  -7.458149   -1.1458868  -6.0613446
  -7.38193    -2.0370429  -5.575305   -2.065108   -7.6668725   8.011466
  -7.8964157  -7.1003017  -7.691783   -4.6320276  -7.004071   -4.6806526
  -8.001743   -3.1240747  -3.449295   -7.399859   -4.13729    -7.235094
  -5.1934977  -5.0044994  -2.9930115  -0.40516824 -5.226865   -7.588896
  -3.2816322  -8.136736   -5.2242355  -7.3676257 ]]",[[0.9941854]]
13,"[[-3.8251524  -0.6258663  -1.1331528  -6.7340784  -4.6503053  -6.9656706
  -4.3496523  -8.384971   -0.5160763  -6.7727265  -0.46729922 -4.245602
  -0.87674826 -2.589801   -6.3541164  -0.5754178   7.3999887  -6.365297
  -4.1141596  -4.8072615  -2.7805388  -2.4143364  -3.152362   -6.0225463
  -4.33195    -2.1722195  -1.3585533  -0.52053547 -2.6188579   8.93849
  -0.85226995 -6.782999   -4.229448   -6.700502   -0.46598652 -5.2223277
  -6.563922   -0.62699574 -5.17274    -1.8472579  -6.8593655   6.4670863
  -7.016902   -6.553064   -6.853056   -4.2094417  -6.5457034  -4.1732407
  -7.25792    -2.833542   -3.0981264  -6.674585   -4.2390437  -6.5071964
  -4.7164054  -4.621953   -2.9904883  -0.40962884 -4.6323614  -6.62077
  -3.2374094  -7.195021   -4.744443   -6.674437  ]]",[[0.98316634]]
14,"[[-3.6655798   0.08109962 -1.0781499  -6.285165   -4.3390794  -6.54994
  -3.9565365  -7.9142966  -0.12069931 -6.3563266   0.04342458 -4.048037
  -0.41362685 -2.4801846  -5.9877596  -0.0549296   6.230564   -5.94856
  -3.9934413  -4.506424   -2.6324086  -2.3771033  -2.9932075  -5.6717877
  -4.1385098  -2.03893    -1.3165873   0.04030878 -2.511245    7.5454135
  -0.33288145 -6.3712993  -4.271589   -6.297785   -0.04073105 -4.758424
  -6.1287246   0.25470185 -4.966671   -1.7231295  -6.4245086   5.5697265
  -6.54574    -6.27949    -6.4004683  -3.9855237  -6.322081   -3.9167254
  -6.8687434  -2.6715472  -2.917304   -6.2927456  -4.3243484  -6.1210213
  -4.470189   -4.422255   -3.0190637  -0.4098321  -4.3206463  -6.089998
  -3.2450488  -6.682515   -4.496047   -6.3133283 ]]",[[0.96615434]]
15,"[[-12.019174  -21.262547   -3.7713416 -26.331366  -18.235771  -25.696417
  -20.075516  -30.312716  -12.113555  -25.220263  -15.66281   -13.863392
  -14.492643   -8.02905   -23.116951  -15.945784   48.015217  -24.801746
  -11.325987  -17.755997   -9.219708   -5.7096987 -10.864208  -22.037424
  -14.042661   -7.6327915  -3.7780635 -17.001862   -8.0645275  57.27661
  -16.718445  -25.155642   -5.9830904 -24.80161   -13.03428   -23.634539
  -25.421307  -26.794405  -15.95829    -7.1903043 -26.088198   37.793236
  -27.516888  -20.741264  -26.613426  -14.64022   -19.361713  -15.76814
  -25.471117   -9.723454  -11.633674  -24.2245     -4.913955  -23.986584
  -16.281923  -14.572455   -4.7059803  -0.6140135 -18.198769  -28.694147
   -5.728647  -28.996416  -16.35985   -23.607588 ]]",[[1.]]
16,"[[ -9.728634   -16.91901     -3.0193045  -21.206545   -14.652347
  -20.705902   -16.18058    -24.41198     -9.56928    -20.365986
  -12.38618    -11.191624   -11.577302    -6.5167136  -18.64036
  -12.709628    38.58245    -19.979683    -9.226283   -14.385273
   -7.5308733   -4.668493    -8.768936   -17.753544   -11.370902
   -6.253845    -3.0640574  -13.518958    -6.511424    46.010555
  -13.280798   -20.320568    -5.096073   -19.992573   -10.344864
  -19.042841   -20.518898   -21.154324   -12.882838    -5.738732
  -21.001236    30.50264    -22.179712   -16.826427   -21.430908
  -11.798847   -15.681113   -12.761434   -20.584364    -7.9041653
   -9.349427   -19.538298    -4.2359123  -19.389793   -13.1792965
  -11.812709    -3.9803162   -0.52225924 -14.719393   -23.021135
   -4.799104   -23.346355   -13.226215   -19.037897  ]]",[[1.]]
17,"[[-10.333269  -17.639038   -3.2267632 -22.342846  -15.503482  -21.877811
  -16.944603  -25.766777  -10.104867  -21.471388  -12.938033  -11.9063425
  -12.131151   -6.947726  -19.67871   -13.243643   40.323997  -21.05066
   -9.808669  -15.154553   -7.989344   -4.960517   -9.175847  -18.765623
  -12.05174    -6.6319423  -3.2817245 -14.114662   -6.9870653  48.117992
  -13.865296  -21.434275   -5.5216126 -21.114338  -10.803238  -19.965288
  -21.605299  -22.129398  -13.7027025  -6.1194544 -22.170366   31.906204
  -23.374214  -17.76832   -22.593218  -12.522151  -16.586948  -13.380673
  -21.721811   -8.394183   -9.882588  -20.623173   -4.599625  -20.421095
  -13.930049  -12.532466   -4.2310505  -0.5589827 -15.430235  -24.254932
   -5.108282  -24.60107   -13.980893  -20.11909  ]]",[[1.]]
18,"[[-10.31676    -17.869053    -3.2184834  -22.396564   -15.520625
  -21.90374    -17.022377   -25.838102   -10.182564   -21.506098
  -13.08931    -11.881416   -12.26842     -6.936366   -19.706968
  -13.417061    40.664      -21.10043     -9.773143   -15.199511
   -7.988952    -4.935981    -9.223674   -18.790579   -12.043237
   -6.6398945   -3.2637677  -14.298625    -6.9606137   48.514492
  -14.030603   -21.472246    -5.4299827  -21.136106   -10.935223
  -20.063133   -21.654099   -22.40814    -13.666022    -6.109571
  -22.205248    32.151485   -23.434977   -17.777323   -22.643763
  -12.5155525  -16.57545    -13.432178   -21.750969    -8.391024
   -9.897703   -20.65493     -4.504374   -20.47804    -13.942815
  -12.512971    -4.182262    -0.54629046 -15.49915    -24.335436
   -5.055743   -24.668583   -13.99051    -20.139568  ]]",[[1.]]
19,"[[-10.73339    -18.8889      -3.3487346  -23.50833    -16.241285
  -22.931982   -17.944824   -27.098824   -10.677772   -22.532679
  -13.87445    -12.352909   -12.880382    -7.174298   -20.648643
  -14.180974    42.886997   -22.146431   -10.136821   -15.898821
   -8.260414    -5.1298165   -9.75976    -19.667618   -12.549024
   -6.84344     -3.3632894  -15.097202    -7.166576    51.141705
  -14.844678   -22.479149    -5.4421344  -22.136452   -11.562111
  -21.128538   -22.72025    -23.718914   -14.225713    -6.3680773
  -23.2749      33.80604    -24.58026    -18.583803   -23.762688
  -13.045289   -17.337763   -14.132881   -22.775274    -8.684362
  -10.373392   -21.640043    -4.50615    -21.462812   -14.554862
  -13.023692    -4.292217    -0.56030333 -16.307886   -25.574627
   -5.195795   -25.884834   -14.613407   -21.077393  ]]",[[1.]]
20,"[[ -9.687305  -16.418888   -3.024453  -20.901558  -14.501572  -20.48162
  -15.8283205 -24.16356    -9.390379  -20.104977  -12.027409  -11.163191
  -11.317526   -6.528414  -18.428093  -12.332267   37.674507  -19.694431
   -9.209634  -14.210153   -7.508552   -4.6664276  -8.6106    -17.572079
  -11.298138   -6.236972   -3.0818493 -13.14315    -6.5572734  44.963627
  -12.904205  -20.075134   -5.2636814 -19.766365  -10.054213  -18.674696
  -20.221197  -20.578781  -12.845007   -5.7193456 -20.752438   29.846233
  -21.878012  -16.669277  -21.145594  -11.72825   -15.565925  -12.536147
  -20.347824   -7.882353   -9.239885  -19.310345   -4.405258  -19.1337
  -13.056289  -11.756172   -4.013826   -0.5314162 -14.452803  -22.675522
   -4.8318734 -23.020956  -13.102927  -18.841976 ]]",[[1.]]
21,"[[ -7.264143  -11.112616   -2.2287385 -15.5360985 -10.679469  -15.227356
  -11.688575  -17.884586   -6.29027   -14.999175   -8.097325   -8.3245125
   -7.6700616  -4.8411407 -13.738455   -8.36228    26.988722  -14.624971
   -7.0532923 -10.561779   -5.5744834  -3.6430197  -6.5122976 -13.067657
   -8.502996   -4.617202   -2.3231373  -8.835963   -4.8401194  32.17951
   -8.810645  -14.965237   -4.350374  -14.697231   -6.787158  -13.74663
  -15.045715  -13.783368   -9.65083    -4.1588726 -15.384342   21.458397
  -16.198982  -12.614032  -15.679076   -8.69755   -11.8501215  -9.464557
  -15.225336   -5.8231535  -6.8526945 -14.405823   -3.7904546 -14.226787
   -9.774622   -8.805367   -3.374507   -0.4288922 -10.811733  -16.64749
   -3.9885206 -16.99621    -9.812794  -14.087498 ]]",[[0.9999995]]
22,"[[-3.973459   -1.3182056  -1.1816862  -7.1690397  -4.949265   -7.3628674
  -4.7416964  -8.808994   -0.89800525 -7.1786437  -0.95992893 -4.431011
  -1.3235207  -2.6911001  -6.7042413  -1.0857033   8.542947   -6.770385
  -4.2337375  -5.093122   -2.9228292  -2.4449937  -3.2960196  -6.3575554
  -4.519745   -2.3041966  -1.3968648  -1.0640053  -2.7176495  10.295862
  -1.3584961  -7.1806283  -4.175284   -7.085925   -0.8782064  -5.675137
  -6.9868236  -1.477348   -5.363435   -1.9596252  -7.274066    7.3396516
  -7.471241   -6.812456   -7.2846646  -4.42174    -6.752153   -4.4328384
  -7.631965   -2.9849863  -3.2725742  -7.040634   -4.140889   -6.8769712
  -4.9563584  -4.805236   -2.9619145  -0.40400296 -4.940363   -7.1333685
  -3.2306588  -7.686549   -4.990066   -7.0234346 ]]",[[0.9907754]]
23,"[[-3.9268456  -1.0642489  -1.1644385  -7.0322866  -4.8524213  -7.236516
  -4.619512   -8.6647415  -0.75347847 -7.05321    -0.77805567 -4.370829
  -1.154436   -2.657164   -6.5937304  -0.899323    8.152297   -6.645255
  -4.201862   -5.0004644  -2.8756185  -2.438985   -3.2486567  -6.2528405
  -4.4645324  -2.2604241  -1.3853762  -0.86037207 -2.6838782   9.83001
  -1.1753252  -7.0563807  -4.196519   -6.964516   -0.7251886  -5.5274754
  -6.857129   -1.1616771  -5.3054514  -1.9199824  -7.1424823   7.040189
  -7.3266973  -6.736469   -7.147604   -4.353202   -6.6912217  -4.3575673
  -7.5149183  -2.9323206  -3.218338   -6.9276414  -4.179057   -6.7606244
  -4.8844037  -4.7471476  -2.9810424  -0.40544194 -4.8467617  -6.9666405
  -3.2456686  -7.5272365  -4.913706   -6.915959  ]]",[[0.98865765]]
24,"[[-22.66746    30.825556  -14.904459  -80.60745   -45.11359   -76.754425
  -51.576267  -69.06625    19.597027  -73.912056   29.586712  -13.86752
   36.283653   -1.5749875 -74.83623    25.04505    39.460194  -81.99974
   -9.764586  -30.909681    3.1312304  -8.05605   -56.768993  -63.56601
  -40.3486     39.031693  -18.656906   31.375082    1.4775904  51.983192
    1.4809363 -72.162506   27.057878  -71.44692    28.567757  -50.02594
  -80.361534   22.390295  -49.59344   -12.12777   -76.46495   -19.17403
  -78.29003   -76.54443   -78.59327   -30.165207  -60.692753  -69.63858
  -73.76075    -2.5883884 -39.023457  -73.15193     8.282023   -9.027386
  -43.810993  -12.789354   -6.6834636  -1.1410742 -64.203384  -84.96653
  -12.394388  -79.79704   -32.18142   -75.94425  ]]",[[7.4537245e-05]]
25,"[[-2.1882879e+01  2.7004505e+01 -1.4128195e+01 -7.7006119e+01
  -4.3308834e+01 -7.3345490e+01 -4.9539730e+01 -6.6443794e+01
   1.7310871e+01 -7.0667053e+01  2.6338764e+01 -1.3804209e+01
   3.2730877e+01 -1.9422348e+00 -7.1360611e+01  2.2058905e+01
   4.0398342e+01 -7.8217941e+01 -9.7625151e+00 -2.9998863e+01
   2.3297257e+00 -7.7711205e+00 -5.3650608e+01 -6.0775322e+01
  -3.8531536e+01  3.5957439e+01 -1.7607754e+01  2.7869888e+01
   8.9929444e-01  5.2783131e+01  2.1387603e-02 -6.9014374e+01
   2.5070961e+01 -6.8324356e+01  2.5615572e+01 -4.8320145e+01
  -7.6730690e+01  1.8656401e+01 -4.7252373e+01 -1.1780641e+01
  -7.3105530e+01 -1.5160381e+01 -7.4920784e+01 -7.2714401e+01
  -7.5149933e+01 -2.9084049e+01 -5.7815567e+01 -6.6115372e+01
  -7.0498024e+01 -3.0478868e+00 -3.7201275e+01 -6.9870552e+01
   7.6432590e+00 -9.9602184e+00 -4.1951263e+01 -1.2834444e+01
  -6.4021444e+00 -1.0951114e+00 -6.1193291e+01 -8.1328766e+01
  -1.1807619e+01 -7.6442841e+01 -3.1053232e+01 -7.2410469e+01]]",[[0.00461152]]
26,"[[-23.747362   34.05406   -15.817591  -85.33939   -47.597664  -81.238014
  -54.46132   -72.77412    21.593756  -78.20232    32.469536  -14.213492
   39.61174    -1.2800356 -79.28249    27.623781   40.217823  -86.91027
   -9.928161  -32.366974    3.81545    -8.364845  -60.465683  -67.240875
  -42.66032    42.284393  -19.837296   34.44644     1.9941539  53.27607
    2.3435886 -76.30986    29.347805  -75.5885     31.281448  -52.60231
  -85.13634    25.21379   -52.498363  -12.676608  -80.91177   -22.280127
  -82.80461   -81.219696  -83.18542   -31.6994    -64.27894   -74.06089
  -78.02068    -2.2749422 -41.38433   -77.42895     9.128665   -8.592724
  -46.26408   -13.043891   -6.943196   -1.196521  -68.12572   -89.91271
  -13.01108   -84.37115   -33.788998  -80.44187  ]]",[[5.2126884e-06]]
27,"[[-23.751434   34.081093  -15.824402  -85.374016  -47.613216  -81.26856
  -54.484035  -72.79398    21.61266   -78.23245    32.494446  -14.208429
   39.641613   -1.2727228 -79.31403    27.64626    40.219326  -86.9462
   -9.922242  -32.373386    3.8270357  -8.364353  -60.497715  -67.265045
  -42.6747     42.318615  -19.8469     34.474052    2.004707   53.278404
    2.3504949 -76.33851    29.378521  -75.61654    31.304373  -52.621918
  -85.17051    25.23903   -52.516747  -12.679411  -80.94207   -22.315718
  -82.8356    -81.253494  -83.21729   -31.70599   -64.301216  -74.095406
  -78.04909    -2.2676039 -41.399815  -77.45749     9.145642   -8.57792
  -46.27986   -13.037932   -6.941271   -1.1967074 -68.15472   -89.948204
  -13.011466  -84.40265   -33.797855  -80.47374  ]]",[[5.085851e-06]]
28,"[[-2.19811440e+01  2.71103592e+01 -1.41898203e+01 -7.73556061e+01
  -4.35069733e+01 -7.36778412e+01 -4.97666893e+01 -6.67464676e+01
   1.73797703e+01 -7.09886093e+01  2.64454975e+01 -1.38684864e+01
   3.28667145e+01 -1.95049644e+00 -7.16826248e+01  2.21463890e+01
   4.06026649e+01 -7.85726929e+01 -9.80757046e+00 -3.01369705e+01
   2.33859396e+00 -7.80500317e+00 -5.38902817e+01 -6.10507622e+01
  -3.87041359e+01  3.61134224e+01 -1.76854706e+01  2.79823036e+01
   9.03223991e-01  5.30467987e+01  1.08653875e-02 -6.93272781e+01
   2.51827164e+01 -6.86351395e+01  2.57210922e+01 -4.85414658e+01
  -7.70798798e+01  1.87208405e+01 -4.74642944e+01 -1.18338242e+01
  -7.34378738e+01 -1.52061176e+01 -7.52615738e+01 -7.30412216e+01
  -7.54914551e+01 -2.92161274e+01 -5.80748405e+01 -6.64146194e+01
  -7.08164062e+01 -3.06212378e+00 -3.73699341e+01 -7.01870880e+01
   7.67987680e+00 -1.00138855e+01 -4.21402931e+01 -1.28957605e+01
  -6.42895603e+00 -1.09877491e+00 -6.14721031e+01 -8.16992874e+01
  -1.18587532e+01 -7.67913284e+01 -3.11943512e+01 -7.27375259e+01]]",[[0.00462434]]
29,"[[-22.705904   30.691078  -14.915894  -80.681015  -45.170235  -76.82444
  -51.645287  -69.163376   19.522427  -73.980774   29.481955  -13.916586
   36.188423   -1.6105245 -74.89554    24.943193   39.677094  -82.06709
   -9.804259  -30.973053    3.0934994  -8.077958  -56.788834  -63.62792
  -40.386337   38.974087  -18.664457   31.26568     1.4468522  52.236397
    1.3891025 -72.233955   27.033394  -71.51816    28.47737   -50.11182
  -80.43139    22.226276  -49.628464  -12.154915  -76.53623   -18.979689
  -78.37159   -76.588646  -78.668396  -30.212288  -60.74141   -69.669106
  -73.83083    -2.6260614 -39.053394  -73.21705     8.273626   -9.129
  -43.857346  -12.840037   -6.692688   -1.1397732 -64.24596   -85.04899
  -12.407367  -79.883804  -32.23765   -76.00446  ]]",[[9.473848e-05]]
