,encoding,probabilities
0,"[[-10.551572  -18.310493   -3.2925134 -22.937721  -15.897148  -22.426514
  -17.454342  -26.424389  -10.44237   -22.024727  -13.429458  -12.159727
  -12.551131   -7.081783  -20.177668  -13.744121   41.642117  -21.612627
   -9.993776  -15.542249   -8.152857   -5.0461235  -9.437939  -19.232235
  -12.3193865  -6.7689047  -3.338212  -14.642129   -7.106766   49.674286
  -14.38184   -21.982384   -5.5088716 -21.648794  -11.212396  -20.554205
  -22.179274  -22.971287  -13.989679   -6.2596917 -22.74234    32.903976
  -23.994614  -18.182085  -23.186575  -12.808223  -16.957773  -13.752469
  -22.262587   -8.573383  -10.132046  -21.14488    -4.5624647 -20.95189
  -14.264393  -12.800683   -4.2657223  -0.5621796 -15.864826  -24.93045
   -5.1615868 -25.263615  -14.317798  -20.61468  ]]",[[1.]]
1,"[[-10.096749  -17.48047    -3.13629   -22.014605  -15.208047  -21.495106
  -16.778381  -25.394485   -9.888581  -21.125912  -12.818085  -11.606553
  -11.952353   -6.754653  -19.357782  -13.132917   39.96843   -20.743723
   -9.5639515 -14.916166   -7.782894   -4.852876   -9.143143  -18.436192
  -11.797058   -6.4495564  -3.1725678 -13.973858   -6.7441807  47.6627
  -13.746264  -21.079601   -5.256312  -20.748566  -10.695144  -19.753054
  -21.286896  -21.911556  -13.372517   -5.953511  -21.7999     31.562008
  -23.02483   -17.470903  -22.251772  -12.242035  -16.305542  -13.24647
  -21.370861   -8.170745   -9.71825   -20.289745   -4.3835416 -20.128807
  -13.666099  -12.249771   -4.121795   -0.5376511 -15.2774105 -23.906221
   -4.9700327 -24.231117  -13.716674  -19.769796 ]]",[[1.]]
2,"[[-12.10785   -21.366892   -3.801442  -26.513172  -18.363222  -25.877317
  -20.206118  -30.54799   -12.175725  -25.392326  -15.746927  -13.960723
  -14.567811   -8.088807  -23.28593   -16.025951   48.309647  -24.975307
  -11.40899   -17.879152   -9.279983   -5.76016   -10.950475  -22.196594
  -14.145461   -7.681392   -3.8044615 -17.086208   -8.124633   57.62659
  -16.809252  -25.329582   -6.037254  -24.977518  -13.100952  -23.789972
  -25.596401  -26.934483  -16.078241   -7.2404766 -26.273607   38.02157
  -27.71187   -20.897903  -26.799831  -14.7434    -19.51405   -15.876592
  -25.654682   -9.784696  -11.721814  -24.399908   -4.9674854 -24.158726
  -16.396162  -14.680141   -4.7492213  -0.6205254 -18.323725  -28.890448
   -5.7753725 -29.19689   -16.471127  -23.779217 ]]",[[1.]]
3,"[[-3.7029498   0.12732802 -1.0911211  -6.3353543  -4.376492   -6.6087804
  -3.9791648  -8.00941    -0.09578169 -6.4066286   0.0688056  -4.085868
  -0.38896382 -2.504425   -6.0417447  -0.02196183  6.2365804  -5.999499
  -4.02905    -4.545699   -2.6524448  -2.4067998  -3.029996   -5.723509
  -4.1752515  -2.0482178  -1.3281394   0.07288117 -2.5353098   7.555473
  -0.30645624 -6.4223127  -4.3230844  -6.353744   -0.017428   -4.789515
  -6.178249    0.29841474 -5.017837   -1.7409608  -6.48122     5.580886
  -6.6013007  -6.3411856  -6.4578576  -4.0233374  -6.3933864  -3.9432619
  -6.932226   -2.6915784  -2.944967   -6.349252   -4.383757   -6.180189
  -4.5063176  -4.4675326  -3.0529566  -0.4163968  -4.353219   -6.137517
  -3.280553   -6.7382307  -4.530422   -6.369637  ]]",[[0.96551394]]
4,"[[-3.92087    -0.98291713 -1.1625043  -6.9986463  -4.830254   -7.2089376
  -4.58284    -8.642748   -0.7102035  -7.0228133  -0.7211351  -4.361463
  -1.103857   -2.653113   -6.5699987  -0.8397515   8.033836   -6.6138043
  -4.198492   -4.9798007  -2.8657088  -2.4427583  -3.2423928  -6.23003
  -4.453345   -2.2494333  -1.3850001  -0.79812217 -2.679815    9.689938
  -1.1171812  -7.027349   -4.2159925  -6.937698   -0.6780385  -5.4872127
  -6.823243   -1.0641404  -5.2986717  -1.9127777  -7.112445    6.952225
  -7.292644   -6.7235727  -7.1155434  -4.340586   -6.68723    -4.335614
  -7.4913616  -2.922805   -3.207097   -6.902646   -4.2046328  -6.7363524
  -4.8674474  -4.7397146  -2.992815   -0.40765867 -4.820402   -6.924176
  -3.2545485  -7.489504   -4.897236   -6.8924446 ]]",[[0.98793215]]
5,"[[-4.1670036  -1.8606492  -1.241138   -7.6490364  -5.2776165  -7.8153386
  -5.1381674  -9.324613   -1.1961931  -7.629699   -1.3494823  -4.657834
  -1.6766977  -2.8194861  -7.1100526  -1.4898005   9.581716   -7.2225003
  -4.403283   -5.407805   -3.0815082  -2.5161636  -3.4742825  -6.745396
  -4.7546916  -2.4467409  -1.4533042  -1.4914589  -2.845892   11.524874
  -1.7711251  -7.631135   -4.2003345  -7.5248537  -1.2006322  -6.131839
  -7.4520774  -2.150336   -5.6135864  -2.0849113  -7.738477    8.14007
  -7.973258   -7.1515784  -7.7662506  -4.670739   -7.049129   -4.724459
  -8.069267   -3.151155   -3.4819748  -7.466027   -4.134971   -7.2997494
  -5.236226   -5.040001   -2.995037   -0.40543383 -5.2797613  -7.6729755
  -3.287287   -8.219059   -5.269127   -7.430902  ]]",[[0.9946748]]
6,"[[-19.766346   25.53555   -12.773413  -69.38815   -38.964638  -66.12841
  -44.45737   -59.90715    16.305569  -63.70548    24.60845   -12.354479
   30.336432   -1.7052851 -64.417145   20.761684   35.108982  -70.50522
   -8.793131  -26.942955    2.241766   -7.1126313 -48.601482  -54.784077
  -34.786255   32.782906  -15.969065   26.096989    0.8729708  46.07102
    0.7713265 -62.20983    22.48286   -61.56414    23.83705   -43.343983
  -69.14719    18.265644  -42.733517  -10.560446  -65.88304   -14.871238
  -67.45322   -65.79986   -67.6995    -26.192205  -52.347466  -59.705486
  -63.603924   -2.6425195 -33.529377  -62.997215    6.588364   -8.676243
  -37.853245  -11.5027     -5.964036   -1.0347576 -55.188446  -73.16979
  -10.841437  -68.80208   -27.965813  -65.36168  ]]",[[0.00116149]]
7,"[[-2.2065659e+01  2.7207958e+01 -1.4246467e+01 -7.7655830e+01
  -4.3676884e+01 -7.3964600e+01 -4.9960510e+01 -6.7007393e+01
   1.7442186e+01 -7.1261642e+01  2.6542294e+01 -1.3921262e+01
   3.2989189e+01 -1.9575901e+00 -7.1959129e+01  2.2227793e+01
   4.0768639e+01 -7.8878754e+01 -9.8440514e+00 -3.0253622e+01
   2.3491285e+00 -7.8341222e+00 -5.4100674e+01 -6.1288868e+01
  -3.8853905e+01  3.6252876e+01 -1.7753300e+01  2.8084791e+01
   9.0799302e-01  5.3262730e+01  4.7484757e-03 -6.9594398e+01
   2.5287405e+01 -6.8902466e+01  2.5816338e+01 -4.8730522e+01
  -7.7378647e+01  1.8777834e+01 -4.7647030e+01 -1.1881562e+01
  -7.3722618e+01 -1.5262107e+01 -7.5556091e+01 -7.3322128e+01
  -7.5786057e+01 -2.9328564e+01 -5.8299320e+01 -6.6668694e+01
  -7.1091393e+01 -3.0719910e+00 -3.7516266e+01 -7.0460373e+01
   7.7159777e+00 -1.0052663e+01 -4.2301888e+01 -1.2944267e+01
  -6.4498568e+00 -1.1020119e+00 -6.1708645e+01 -8.2018738e+01
  -1.1900913e+01 -7.7090752e+01 -3.1314301e+01 -7.3018715e+01]]",[[0.00460165]]
8,"[[-22.399643   21.273647  -13.79978   -76.220566  -43.467617  -72.70373
  -49.581318  -67.18668    13.9096155 -70.07162    21.638151  -15.215195
   27.887934   -3.1711233 -70.39231    17.61956    46.08153   -77.10043
  -10.977357  -30.948875    0.6047709  -8.1361265 -51.84096   -60.36471
  -38.24254    32.19413   -16.952948   22.83268    -0.5145256  59.26176
   -3.0255892 -68.526054   22.488277  -67.85427    21.46774   -49.078953
  -75.78987    12.328679  -46.647106  -12.187978  -72.539536   -7.5237155
  -74.52044   -71.13205   -74.56188   -29.57429   -57.1136    -64.25054
  -69.990295   -4.475274  -36.666946  -69.21108     6.4330735 -13.419135
  -41.78327   -14.393383   -6.636073   -1.1153888 -60.101814  -80.76617
  -11.862798  -76.18687   -31.648254  -71.429115 ]]",[[0.93364906]]
9,"[[-22.73432    30.728354  -14.935609  -80.795906  -45.232864  -76.932045
  -51.720398  -69.25469    19.546774  -74.08547    29.520584  -13.932665
   36.23741    -1.6080848 -75.00064    24.974333   39.74093   -82.18436
   -9.813743  -31.013975    3.1001513  -8.08446   -56.867275  -63.716957
  -40.44155    39.033188  -18.688965   31.305635    1.4527395  52.319195
    1.3860991 -72.3352     27.080189  -71.61869    28.516346  -50.182404
  -80.54617    22.250721  -49.69477   -12.1708355 -76.64439   -19.005144
  -78.48166   -76.69363   -78.77939   -30.252535  -60.82184   -69.77152
  -73.93298    -2.626946  -39.108856  -73.3194      8.294302   -9.136587
  -43.918026  -12.853809   -6.697026   -1.1403427 -64.33998   -85.17136
  -12.420466  -79.99664   -32.27946   -76.11028  ]]",[[9.451677e-05]]
